,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS,hr,min,sec,TIMES
714,Suomela Antti,SJ,27.0,3,5,8,1,11:19,447,16.6,38:11:00, C,11.0,19.0,,297.0
715,Quenneville John,NJ,19.0,1,0,1,-1,11:19,288,15.2,214:59:00, C,11.0,19.0,,209.0
716,Irwin Matt,NSH,44.0,1,6,7,5,11:18,685,15.6,71:00:00, D,11.0,18.0,,484.0
717,Sikura Dylan,CHI,33.0,0,8,8,2,11:17,510,15.5,46:32:00, C,11.0,17.0,,363.0
718,Chaput Michael,MTL/ARI,32.0,0,5,5,-4,11:13,545,17.0,71:49:00, C,11.0,13.0,,352.0
719,Lizotte Blake,LA,1.0,0,0,0,-1,11:12,14,14.0,0:00, C,11.0,12.0,,11.0
720,Kempe Mario,ARI,52.0,4,5,9,5,11:11,918,17.7,64:37:00, RW,11.0,11.0,,572.0
721,Murphy Ryan,NJ/MIN,3.0,0,1,1,1,11:10,44,14.7,33:30:00, D,11.0,10.0,,33.0
722,Callahan Ryan,TB,52.0,7,10,17,7,11:08,845,16.3,34:04:00, RW,11.0,8.0,,572.0
723,Burakovsky Andre,WSH,76.0,12,13,25,2,11:08,1060,13.9,33:49:00, LW,11.0,8.0,,836.0
724,Luff Matt,LA,33.0,8,3,11,-2,11:07,533,16.2,33:20:00, RW,11.0,7.0,,363.0
725,Graves Ryan,COL,26.0,3,2,5,4,11:06,405,15.6,57:44:00, D,11.0,6.0,,286.0
726,Andrighetto Sven,COL,64.0,7,10,17,10,11:04,930,14.5,41:40:00, RW,11.0,4.0,,704.0
727,Hunt Dryden,FLA,31.0,3,7,10,0,11:04,469,15.1,34:17:00, LW,11.0,4.0,,341.0
728,Blueger Teddy,PIT,28.0,6,4,10,7,11:03,454,16.2,30:57:00, C,11.0,3.0,,308.0
729,Fehr Eric,MIN,72.0,7,8,15,-8,11:03,1163,16.2,53:00:00, RW,11.0,3.0,,792.0
730,Goodrow Barclay,SJ,82.0,7,10,17,4,11:01,1411,17.2,53:06:00, LW,11.0,1.0,,902.0
731,Brisebois Guillaume,VAN,8.0,0,0,0,-4,11:01,134,16.8,0:00, D,11.0,1.0,,88.0
732,Stenlund Kevin,CBJ,4.0,0,0,0,0,10:58,59,14.8,0:00, C,10.0,58.0,,40.0
733,Gaudette Adam,VAN,56.0,5,7,12,-8,10:57,897,16.0,51:05:00, C,10.0,57.0,,560.0
734,Kuffner Ryan,DET,10.0,0,0,0,-4,10:56,150,15.0,0:00, LW,10.0,56.0,,100.0
735,Zboril Jakub,BOS,2.0,0,0,0,0,10:56,42,21.0,0:00, D,10.0,56.0,,20.0
736,Lammikko Juho,FLA,40.0,0,6,6,-7,10:56,665,16.6,72:52:00, RW,10.0,56.0,,400.0
737,Kuokkanen Janne,CAR,7.0,0,0,0,-2,10:55,101,14.4,0:00, C,10.0,55.0,,70.0
738,Gibbons Brian,OTT/ANA,64.0,8,11,19,-5,10:55,1037,16.2,36:46:00, C,10.0,55.0,,640.0
739,Plekanec Tomas,MTL,3.0,1,0,1,0,10:53,58,19.3,32:38:00, C,10.0,53.0,,30.0
740,Reaves Ryan,VGS,80.0,9,11,20,1,10:52,1063,13.3,43:29:00, RW,10.0,52.0,,800.0
741,Gurianov Denis,DAL,21.0,1,3,4,-3,10:52,349,16.6,57:04:00, RW,10.0,52.0,,210.0
742,Smith-Pelly Devante,WSH,54.0,4,4,8,-6,10:51,778,14.4,73:15:00, RW,10.0,51.0,,540.0
743,Nash Riley,CBJ,78.0,3,9,12,-8,10:50,1157,14.8,70:27:00, C,10.0,50.0,,780.0
744,Goloubef Cody,OTT,5.0,0,0,0,0,10:49,79,15.8,0:00, D,10.0,49.0,,50.0
745,Fritz Tanner,NYI,8.0,0,1,1,-3,10:49,113,14.1,86:35:00, C,10.0,49.0,,80.0
746,Johnson Luke,CHI,15.0,0,1,1,-8,10:49,238,15.9,162:11:00, C,10.0,49.0,,150.0
747,Tennyson Matt,BUF,4.0,0,0,0,-4,10:45,63,15.8,0:00, D,10.0,45.0,,40.0
748,Andersson Lias,NYR,42.0,2,4,6,-13,10:43,663,15.8,75:01:00, C,10.0,43.0,,420.0
749,Bartkowski Matt,MIN,2.0,1,0,1,2,10:42,33,16.5,21:24, D,10.0,42.0,,20.0
750,Radil Lukas,SJ,36.0,7,4,11,7,10:41,550,15.3,34:57:00, LW,10.0,41.0,,360.0
751,McGinn Jamie,FLA,19.0,4,3,7,-5,10:41,292,15.4,28:58:00, LW,10.0,41.0,,190.0
752,Burgdoerfer Erik,OTT,4.0,0,0,0,-1,10:40,55,13.8,0:00, D,10.0,40.0,,40.0
753,Schaller Tim,VAN,47.0,3,7,10,-2,10:40,761,16.2,50:06:00, LW,10.0,40.0,,470.0
754,McKegg Greg,CAR,41.0,6,5,11,-2,10:40,650,15.9,39:44:00, C,10.0,40.0,,410.0
755,Smith C.J.,BUF,11.0,2,0,2,0,10:39,157,14.3,58:36:00, LW,10.0,39.0,,110.0
756,Clendening Adam,CBJ,4.0,0,0,0,1,10:39,64,16.0,0:00, D,10.0,39.0,,40.0
757,Carey Paul,BOS/OTT,7.0,0,0,0,0,10:39,91,13.0,0:00, C,10.0,39.0,,70.0
758,Ehn Christoffer,DET,60.0,3,6,9,-5,10:37,874,14.6,70:45:00, C,10.0,37.0,,600.0
759,Fortin Alexandre,CHI,24.0,3,3,6,-6,10:35,349,14.5,42:21:00, LW,10.0,35.0,,240.0
760,Erne Adam,TB,65.0,7,13,20,10,10:33,976,15.0,34:16:00, LW,10.0,33.0,,650.0
761,Mangiapane Andrew,CGY,44.0,8,5,13,11,10:33,653,14.8,35:41:00, LW,10.0,33.0,,440.0
762,Hathaway Garnet,CGY,76.0,11,8,19,14,10:32,1160,15.3,42:06:00, RW,10.0,32.0,,760.0
763,Peca Matthew,MTL,39.0,3,7,10,-14,10:31,594,15.2,41:02:00, C,10.0,31.0,,390.0
764,Brown Logan,OTT,2.0,0,0,0,-2,10:31,27,13.5,0:00, C,10.0,31.0,,20.0
765,Clifford Kyle,LA,72.0,11,10,21,4,10:29,1084,15.1,35:57:00, LW,10.0,29.0,,720.0
766,Salomaki Miikka,NSH,37.0,3,4,7,5,10:27,540,14.6,55:16:00, RW,10.0,27.0,,370.0
767,Cracknell Adam,ANA,2.0,0,0,0,-1,10:26,35,17.5,0:00, RW,10.0,26.0,,20.0
768,Kruger Marcus,CHI,74.0,4,8,12,-2,10:25,1231,16.6,64:13:00, C,10.0,25.0,,740.0
769,Puempel Matt,DET,8.0,1,0,1,-2,10:24,116,14.5,83:13:00, LW,10.0,24.0,,80.0
770,Elie Remi,BUF,16.0,0,1,1,-3,10:21,235,14.7,165:36:00, LW,10.0,21.0,,160.0
771,Seney Brett,NJ,51.0,5,8,13,-14,10:20,705,13.8,40:31:00, LW,10.0,20.0,,510.0
772,Kossila Kalle,ANA,8.0,1,0,1,-1,10:18,131,16.4,82:26:00, C,10.0,18.0,,80.0
773,Dowd Nic,WSH,64.0,8,14,22,10,10:18,862,13.5,29:56:00, C,10.0,18.0,,640.0
774,Dea Jean-Sebastien,NJ/PIT/FLA,23.0,4,2,6,0,10:15,339,14.7,39:18:00, C,10.0,15.0,,230.0
775,Prosser Nate,MIN,15.0,0,0,0,1,10:13,209,13.9,0:00, D,10.0,13.0,,150.0
776,Carrick Sam,ANA,6.0,0,1,1,-1,10:13,96,16.0,61:19:00, C,10.0,13.0,,60.0
777,Amadio Michael,LA,43.0,6,7,13,-1,10:12,606,14.1,33:45:00, C,10.0,12.0,,430.0
778,Heatherington Dillon,DAL,5.0,0,1,1,4,10:11,71,14.2,50:56:00, D,10.0,11.0,,50.0
779,Martel Danick,TB,9.0,0,2,2,3,10:11,124,13.8,45:48:00, C,10.0,11.0,,90.0
780,Scherbak Nikita,LA/MTL,8.0,1,0,1,-4,10:11,114,14.3,81:25:00, LW,10.0,11.0,,80.0
781,Lettieri Vinni,NYR,27.0,1,2,3,-7,10:09,359,13.3,91:24:00, C,10.0,9.0,,270.0
782,Giuseppe Di Phil,CAR/NSH,24.0,1,3,4,-3,10:08,339,14.1,60:48:00, LW,10.0,8.0,,240.0
783,Nogier Nelson,WPG,1.0,0,0,0,0,10:06,11,11.0,0:00, D,10.0,6.0,,10.0
784,Jaskin Dmitrij,WSH,37.0,2,6,8,-5,10:05,462,12.5,46:38:00, RW,10.0,5.0,,370.0
785,Dube Dillon,CGY,25.0,1,4,5,2,10:04,350,14.0,50:20:00, C,10.0,4.0,,250.0
786,Deslauriers Nicolas,MTL,48.0,2,3,5,-12,10:02,668,13.9,96:21:00, LW,10.0,2.0,,480.0
787,Necas Martin,CAR,7.0,1,1,2,0,10:01,103,14.7,35:05:00, C,10.0,1.0,,70.0
788,Grimaldi Rocco,NSH,53.0,5,8,13,-2,10:00,747,14.1,40:47:00, C,10.0,0.0,,530.0
789,Zykov Valentin,EDM/CAR/VGS,28.0,2,3,5,-5,9:57,342,12.2,55:43:00, RW,9.0,57.0,,252.0
790,Carrier William,VGS,54.0,8,1,9,-4,9:57,700,13.0,59:40:00, LW,9.0,57.0,,486.0
791,Ennis Tyler,TOR,51.0,12,6,18,-6,9:56,683,13.4,28:09:00, LW,9.0,56.0,,459.0
792,Middleton Jacob,SJ,3.0,0,1,1,-1,9:56,41,13.7,29:48:00, D,9.0,56.0,,27.0
793,Brodzinski Jonny,LA,13.0,2,1,3,0,9:55,176,13.5,43:00:00, C,9.0,55.0,,117.0
794,Alt Mark,COL,2.0,0,0,0,0,9:55,29,14.5,0:00, D,9.0,55.0,,18.0
795,Blais Sammy,STL,32.0,2,2,4,-1,9:51,429,13.4,78:49:00, LW,9.0,51.0,,288.0
796,Boyd Travis,WSH,53.0,5,15,20,6,9:50,695,13.1,26:02:00, C,9.0,50.0,,477.0
797,Carr Daniel,VGS,6.0,1,0,1,-1,9:50,73,12.2,58:57:00, LW,9.0,50.0,,54.0
798,Roslovic Jack,WPG,77.0,9,15,24,-2,9:45,1015,13.2,31:15:00, C,9.0,45.0,,693.0
799,Blackwell Colin,NSH,6.0,0,0,0,-1,9:44,86,14.3,0:00, C,9.0,44.0,,54.0
800,Bourque Gabriel,COL,55.0,2,6,8,3,9:44,757,13.8,66:56:00, LW,9.0,44.0,,495.0
801,Pitlick Rem,NSH,1.0,0,0,0,0,9:43,14,14.0,0:00, C,9.0,43.0,,9.0
802,Knight Corban,PHI,23.0,1,3,4,-5,9:41,304,13.2,55:39:00, C,9.0,41.0,,207.0
803,Kyrou Jordan,STL,16.0,1,2,3,-1,9:40,213,13.3,51:31:00, C,9.0,40.0,,144.0
804,Nieves Boo,NYR,43.0,4,6,10,-4,9:39,573,13.3,41:31:00, C,9.0,39.0,,387.0
805,Ritchie Brett,DAL,53.0,4,2,6,-7,9:36,814,15.4,84:50:00, RW,9.0,36.0,,477.0
806,Witkowski Luke,DET,34.0,0,2,2,-5,9:36,447,13.1,163:09:00, D,9.0,36.0,,306.0
807,Bunting Michael,ARI,5.0,1,0,1,0,9:33,71,14.2,47:47:00, LW,9.0,33.0,,45.0
808,Greco Anthony,FLA,1.0,0,0,0,-3,9:30,16,16.0,0:00, RW,9.0,30.0,,9.0
809,Quine Alan,CGY,13.0,3,2,5,0,9:30,172,13.2,24:41:00, C,9.0,30.0,,117.0
810,Hannikainen Markus,CBJ,44.0,4,3,7,-5,9:29,599,13.6,59:34:00, LW,9.0,29.0,,396.0
811,Bishop Clark,CAR,20.0,1,2,3,-3,9:27,269,13.5,63:02:00, C,9.0,27.0,,180.0
812,Hawryluk Jayce,FLA,42.0,7,5,12,-8,9:26,588,14.0,33:00:00, C,9.0,26.0,,378.0
813,Maenalanen Saku,CAR,34.0,4,4,8,0,9:26,506,14.9,40:04:00, RW,9.0,26.0,,306.0
814,Chartier Rourke,SJ,13.0,1,0,1,-5,9:24,187,14.4,122:14:00, C,9.0,24.0,,117.0
815,Frederic Trent,BOS,15.0,0,0,0,-4,9:24,198,13.2,0:00, C,9.0,24.0,,135.0
816,Carlsson Gabriel,CBJ,1.0,0,0,0,-1,9:21,17,17.0,0:00, D,9.0,21.0,,9.0
817,MacDermid Kurtis,LA,11.0,0,1,1,-1,9:21,146,13.3,102:49:00, D,9.0,21.0,,99.0
818,Vorobyev Mikhail,PHI,15.0,1,1,2,0,9:20,183,12.2,70:00:00, C,9.0,20.0,,135.0
819,Sherwood Kole,CBJ,2.0,0,0,0,0,9:14,25,12.5,0:00, RW,9.0,14.0,,18.0
820,Frk Martin,DET,30.0,1,5,6,-9,9:11,389,13.0,45:55:00, RW,9.0,11.0,,270.0
821,Rychel Kerby,CGY,2.0,0,0,0,-1,9:11,26,13.0,0:00, LW,9.0,11.0,,18.0
822,Brown J.T.,MIN,56.0,3,5,8,0,9:10,692,12.4,64:11:00, RW,9.0,10.0,,504.0
823,Hayden John,CHI,54.0,3,2,5,-12,9:10,712,13.2,98:56:00, C,9.0,10.0,,486.0
824,Lehtera Jori,PHI,27.0,1,2,3,-7,9:07,389,14.4,82:00:00, C,9.0,7.0,,243.0
825,Vaakanainen Urho,BOS,2.0,0,0,0,-1,9:06,25,12.5,0:00, D,9.0,6.0,,18.0
826,Moore Trevor,TOR,25.0,2,6,8,1,9:06,335,13.4,28:25:00, LW,9.0,6.0,,225.0
827,Dries Sheldon,COL,40.0,3,3,6,-7,9:04,519,13.0,60:29:00, C,9.0,4.0,,360.0
828,Gignac Brandon,NJ,1.0,0,0,0,-2,9:04,12,12.0,0:00, C,9.0,4.0,,9.0
829,Kunitz Chris,CHI,56.0,5,5,10,-7,9:04,747,13.3,50:43:00, LW,9.0,4.0,,504.0
830,Lemieux Brendan,NYR/WPG,63.0,12,5,17,6,9:03,795,12.6,33:31:00, LW,9.0,3.0,,567.0
831,Kamenev Vladislav,COL,23.0,2,3,5,-2,9:02,295,12.8,41:34:00, LW,9.0,2.0,,207.0
832,Dalpe Zac,CBJ,1.0,0,1,1,1,9:01,16,16.0,9:01, C,9.0,1.0,,9.0
833,Gaudreau Frederick,NSH,55.0,3,1,4,1,9:01,732,13.3,123:56:00, C,9.0,1.0,,495.0
834,Sedlak Lukas,CBJ,47.0,4,2,6,-5,9:00,620,13.2,70:29:00, C,9.0,0.0,,423.0
835,Elliott Stefan,OTT,3.0,0,1,1,1,8:59,45,15.0,26:57:00, D,8.0,59.0,,24.0
836,Brickley Connor,NYR,14.0,1,3,4,3,8:59,172,12.3,31:25:00, C,8.0,59.0,,112.0
837,Malone Brad,EDM,16.0,0,0,0,0,8:57,218,13.6,0:00, C,8.0,57.0,,128.0
838,Wagner Austin,LA,62.0,12,9,21,2,8:56,827,13.3,26:21:00, LW,8.0,56.0,,496.0
839,Hendricks Matt,WPG/MIN,26.0,0,3,3,-2,8:50,327,12.6,76:37:00, C,8.0,50.0,,208.0
840,Russell Patrick,EDM,6.0,0,0,0,0,8:47,76,12.7,0:00, RW,8.0,47.0,,48.0
841,Gionta Stephen,NYI,5.0,0,0,0,-4,8:47,71,14.2,0:00, RW,8.0,47.0,,40.0
842,Rempal Sheldon,LA,7.0,0,0,0,-1,8:44,85,12.1,0:00, RW,8.0,44.0,,56.0
843,Currie Josh,EDM,21.0,2,3,5,2,8:43,259,12.3,36:34:00, RW,8.0,43.0,,168.0
844,Gambrell Dylan,SJ,8.0,0,0,0,1,8:38,98,12.3,0:00, C,8.0,38.0,,64.0
845,Conacher Cory,TB,1.0,0,0,0,0,8:35,13,13.0,0:00, LW,8.0,35.0,,8.0
846,Paul Nick,OTT,20.0,1,1,2,-10,8:28,225,11.3,84:44:00, LW,8.0,28.0,,160.0
847,Bean Jake,CAR,2.0,0,0,0,0,8:28,26,13.0,0:00, D,8.0,28.0,,16.0
848,Smith Gemel,BOS/DAL,17.0,2,1,3,-4,8:22,220,12.9,47:25:00, C,8.0,22.0,,136.0
849,Gauthier Frederik,TOR,70.0,3,11,14,3,8:22,867,12.4,41:49:00, C,8.0,22.0,,560.0
850,Milano Sonny,CBJ,8.0,1,0,1,0,8:19,94,11.8,66:34:00, LW,8.0,19.0,,64.0
851,Appleton Mason,WPG,36.0,3,7,10,9,8:12,427,11.9,29:32:00, C,8.0,12.0,,288.0
852,Walker Nathan,WSH,3.0,0,1,1,1,8:09,32,10.7,24:26:00, LW,8.0,9.0,,24.0
853,Gambardella Joe,EDM,15.0,0,3,3,2,8:06,169,11.3,40:31:00, C,8.0,6.0,,120.0
854,Haley Micheal,SJ/FLA,43.0,2,4,6,-2,8:05,536,12.5,57:59:00, C,8.0,5.0,,344.0
855,MacEachern Mackenzie,STL,29.0,3,2,5,0,8:02,336,11.6,46:35:00, LW,8.0,2.0,,232.0
856,Nolan Jordan,STL,14.0,0,2,2,2,7:56,165,11.8,55:34:00, C,7.0,56.0,,98.0
857,Martinsen Andreas,CHI,24.0,1,3,4,-5,7:56,293,12.2,47:36:00, C,7.0,56.0,,168.0
858,Johnston Ross,NYI,17.0,1,3,4,3,7:55,189,11.1,33:38:00, LW,7.0,55.0,,119.0
859,Varone Phil,PHI,47.0,3,4,7,-2,7:55,516,11.0,53:07:00, C,7.0,55.0,,329.0
860,Megan Wade,DET,11.0,0,1,1,-4,7:53,123,11.2,86:39:00, C,7.0,53.0,,77.0
861,Jerabek Jakub,STL,1.0,0,0,0,-3,7:52,15,15.0,0:00, D,7.0,52.0,,7.0
862,Nilsson Jacob,CHI,2.0,0,0,0,-2,7:52,21,10.5,0:00, C,7.0,52.0,,14.0
863,Stempniak Lee,BOS,2.0,0,0,0,-1,7:49,21,10.5,0:00, RW,7.0,49.0,,14.0
864,Agozzino Andrew,COL,11.0,1,1,2,2,7:49,113,10.3,42:57:00, LW,7.0,49.0,,77.0
865,Fogarty Steven,NYR,10.0,0,0,0,-1,7:46,112,11.2,0:00, C,7.0,46.0,,70.0
866,Petan Nic,TOR/WPG,18.0,1,2,3,-5,7:38,193,10.7,45:49:00, C,7.0,38.0,,126.0
867,Wilson Garrett,PIT,50.0,2,6,8,2,7:37,590,11.8,47:35:00, LW,7.0,37.0,,350.0
868,Gaunce Brendan,VAN,3.0,1,2,3,3,7:37,37,12.3,7:36, C,7.0,37.0,,21.0
869,Gettinger Tim,NYR,4.0,0,0,0,0,7:31,42,10.5,0:00, LW,7.0,31.0,,28.0
870,McCormick Max,OTT,14.0,1,0,1,-6,7:30,153,10.9,105:00:00, LW,7.0,30.0,,98.0
871,Blandisi Joseph,PIT/ANA,9.0,0,0,0,-1,7:27,100,11.1,0:00, C,7.0,27.0,,63.0
872,Goulbourne Tyrell,PHI,2.0,0,0,0,0,7:25,23,11.5,0:00, LW,7.0,25.0,,14.0
873,Donovan Matt,NSH,2.0,0,1,1,0,7:24,21,10.5,14:47, D,7.0,24.0,,14.0
874,Archibald Darren,OTT/VAN,12.0,1,1,2,-3,7:23,138,11.5,44:15:00, LW,7.0,23.0,,84.0
875,Gabriel Kurtis,NJ,22.0,2,2,4,0,7:22,254,11.5,40:33:00, RW,7.0,22.0,,154.0
876,Beleskey Matt,NYR,4.0,1,0,1,1,7:22,42,10.5,29:29:00, LW,7.0,22.0,,28.0
877,Richard Anthony,NSH,1.0,0,0,0,-1,7:22,12,12.0,0:00, C,7.0,22.0,,7.0
878,Mamin Maxim,FLA,7.0,0,0,0,-2,7:21,79,11.3,0:00, C,7.0,21.0,,49.0
879,MacEwen Zack,VAN,4.0,0,1,1,-4,7:11,47,11.8,28:44:00, C,7.0,11.0,,28.0
880,Lindholm Anton,COL,2.0,0,0,0,-1,7:11,22,11.0,0:00, D,7.0,11.0,,14.0
881,Soshnikov Nikita,STL,5.0,0,0,0,-1,7:10,57,11.4,0:00, RW,7.0,10.0,,35.0
882,Rinaldo Zac,NSH,23.0,1,2,3,1,7:07,251,10.9,54:37:00, C,7.0,7.0,,161.0
883,Kloos Justin,ANA,1.0,0,0,0,0,7:04,10,10.0,0:00, C,7.0,4.0,,7.0
884,Rodewald Jack,OTT,6.0,0,0,0,0,7:04,54,9.0,0:00, RW,7.0,4.0,,42.0
885,Rau Kyle,MIN,6.0,0,1,1,0,7:01,62,10.3,42:05:00, C,7.0,1.0,,42.0
886,Lomberg Ryan,CGY,4.0,0,0,0,0,6:59,43,10.8,0:00, LW,6.0,59.0,,24.0
887,Roy Nicolas,CAR,6.0,0,0,0,0,6:57,70,11.7,0:00, C,6.0,57.0,,36.0
888,Marody Cooper,EDM,6.0,0,0,0,-1,6:55,59,9.8,0:00, C,6.0,55.0,,36.0
889,Dano Marko,COL,8.0,0,0,0,-1,6:53,86,10.8,0:00, C,6.0,53.0,,48.0
890,Vesalainen Kristian,WPG,5.0,0,1,1,0,6:50,50,10.0,34:12:00, LW,6.0,50.0,,30.0
891,O'Connor Logan,COL,5.0,0,0,0,-2,6:49,49,9.8,0:00, RW,6.0,49.0,,30.0
892,Toninato Dominic,COL,2.0,1,0,1,0,6:42,21,10.5,13:24, C,6.0,42.0,,12.0
893,McLeod Cody,NYR/NSH,38.0,1,0,1,-13,6:29,363,9.6,246:26:00, LW,6.0,29.0,,228.0
894,Greer A.J.,COL,15.0,1,1,2,-2,6:16,142,9.5,47:00:00, LW,6.0,16.0,,90.0
895,Bailey Justin,PHI,11.0,0,1,1,0,5:44,98,8.9,63:05:00, RW,5.0,44.0,,55.0
896,Aube-Kubel Nicolas,PHI,9.0,0,0,0,1,5:35,72,8.0,0:00, RW,5.0,35.0,,45.0
897,Boucher Reid,VAN,1.0,0,0,0,0,5:28,10,10.0,0:00, C,5.0,28.0,,5.0
898,Johnson Adam,PIT,6.0,0,2,2,2,5:18,55,9.2,15:55, C,5.0,18.0,,30.0
899,Lazar Curtis,CGY,1.0,0,0,0,-1,4:48,9,9.0,0:00, RW,4.0,48.0,,4.0
900,Peluso Anthony,CGY,4.0,0,0,0,-1,4:07,27,6.8,0:00, RW,4.0,7.0,,16.0
901,MacKenzie Derek,FLA,1.0,0,0,0,0,2:43,4,4.0,0:00, C,2.0,43.0,,2.0
902,Thorburn Chris,STL,1.0,0,0,0,0,1:52,3,3.0,0:00, RW,1.0,52.0,,1.0
903,Gilbert Dennis,CHI,1.0,0,0,0,0,12:46,17,17.0,0:00, D,12.0,46.0,,12.0
904,Stillman Riley,FLA,1.0,0,0,0,0,11:22,19,19.0,0:00, D,11.0,22.0,,11.0
905,Letestu Mark,CBJ,2.0,0,0,0,-1,9:20,27,13.5,0:00, C,9.0,20.0,,18.0
