,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
627,Fabbri Robby,STL,32,2,4,6,-4,12:39,521,16.3,67:29:00, C
628,Rieder Tobias,EDM,67,0,11,11,-8,12:39,1220,18.2,77:00:00, C
629,Carpenter Ryan,VGS,68,5,13,18,-6,12:37,1079,15.9,47:39:00, C
630,Rooney Kevin,NJ,41,6,4,10,-4,12:37,738,18.0,51:42:00, C
631,Cehlarik Peter,BOS,20,4,2,6,3,12:36,315,15.8,41:58:00, LW
632,Cogliano Andrew,DAL/ANA,78,6,11,17,1,12:35,1547,19.8,57:46:00, C
633,Turgeon Dominic,DET,4,0,0,0,-3,12:35,76,19.0,0:00, C
634,Sanford Zach,STL,60,8,12,20,8,12:35,1037,17.3,37:44:00, LW
635,Khaira Jujhar,EDM,60,3,15,18,-12,12:34,1073,17.9,41:53:00, LW
636,Rowney Carter,ANA,62,7,13,20,0,12:33,1117,18.0,38:54:00, RW
637,Friedman Mark,PHI,1,0,0,0,-1,12:33,19,19.0,0:00, D
638,Fleury Haydn,CAR,20,0,1,1,4,12:32,340,17.0,250:40:00, D
639,Leo De Chase,ANA,1,0,0,0,1,12:32,18,18.0,0:00, C
640,Veronneau Max,OTT,12,2,2,4,-5,12:31,191,15.9,37:33:00, RW
641,Foegele Warren,CAR,77,10,5,15,-17,12:30,1412,18.3,64:08:00, LW
642,Holl Justin,TOR,11,0,1,1,-5,12:29,191,17.4,137:18:00, D
643,Lindberg Oscar,OTT/VGS,55,9,11,20,4,12:28,896,16.3,34:18:00, C
644,Nosek Tomas,VGS,68,8,9,17,-10,12:28,1055,15.5,49:53:00, C
645,Pominville Jason,BUF,73,16,15,31,-4,12:28,1232,16.9,29:21:00, RW
646,Bellemare Pierre-Edouard,VGS,76,6,9,15,2,12:26,1196,15.7,62:58:00, RW
647,Kylington Oliver,CGY,38,3,5,8,3,12:25,633,16.7,59:00:00, D
648,Morin Samuel,PHI,5,0,0,0,-3,12:22,86,17.2,0:00, D
649,Dubinsky Brandon,CBJ,61,6,8,14,-16,12:21,1178,19.3,53:50:00, C
650,Bouchard Evan,EDM,7,1,0,1,-5,12:21,112,16.0,86:29:00, D
651,Balcers Rudolfs,OTT,36,5,9,14,-7,12:21,585,16.3,31:46:00, LW
652,Bjorkstrand Oliver,CBJ,77,23,13,36,8,12:20,1248,16.2,26:23:00, RW
653,Seeler Nick,MIN,71,2,5,7,-4,12:20,1169,16.5,125:05:00, D
654,Dauphin Laurent,ARI/NSH,1,0,0,0,-1,12:19,17,17.0,0:00, C
655,Cave Colby,BOS/EDM,53,3,5,8,-5,12:19,909,17.2,81:34:00, C
656,Sceviour Colton,FLA,59,5,10,15,-2,12:18,1055,17.9,48:21:00, C
657,Stafford Drew,NJ,57,5,8,13,-7,12:16,868,15.2,53:46:00, RW
658,L'Esperance Joel,DAL,18,2,0,2,-4,12:15,330,18.3,110:14:00, RW
659,Perreault Mathieu,WPG,82,15,15,30,-1,12:14,1350,16.5,33:26:00, C
660,McLeod Michael,NJ,21,0,3,3,-8,12:12,337,16.0,85:22:00, C
661,Nylander Alexander,BUF,12,2,2,4,-4,12:12,190,15.8,36:34:00, LW
662,Copp Andrew,WPG,69,11,14,25,20,12:10,1215,17.6,33:33:00, C
663,Kuhlman Karson,BOS,11,3,2,5,5,12:09,183,16.6,26:43:00, RW
664,Thompson Tage,BUF,65,7,5,12,-22,12:08,1031,15.9,65:42:00, C
665,Stephenson Chandler,WSH,64,5,6,11,-13,12:07,1005,15.7,70:29:00, C
666,Colle Dal Michael,NYI,28,3,4,7,3,12:07,435,15.5,48:26:00, LW
667,Rask Victor,CAR/MIN,49,3,6,9,-4,12:06,839,17.1,65:53:00, C
668,Schilling Cameron,WPG,4,0,1,1,0,12:06,61,15.3,48:23:00, D
669,Rasmussen Michael,DET,62,8,10,18,-8,12:05,1014,16.4,41:35:00, C
670,Street Ben,ANA,21,3,2,5,-4,12:04,373,17.8,50:41:00, RW
671,MacDonald Jacob,FLA,2,1,0,1,1,12:03,33,16.5,24:06:00, D
672,Sustr Andrej,ANA,5,0,0,0,0,12:02,93,18.6,0:00, D
673,Paquette Cedric,TB,80,13,4,17,7,12:00,1400,17.5,56:29:00, C
674,Borgstrom Henrik,FLA,50,8,10,18,-14,12:00,852,17.0,33:20:00, C
675,Foligno Marcus,MIN,82,7,12,19,-1,11:58,1336,16.3,51:39:00, LW
676,Sprong Daniel,PIT/ANA,63,14,9,23,-16,11:57,970,15.4,32:44:00, RW
677,Puljujarvi Jesse,EDM,46,4,5,9,-14,11:57,769,16.7,61:05:00, RW
678,O'Regan Danny,BUF,1,0,0,0,0,11:56,15,15.0,0:00, C
679,Bitetto Anthony,NSH/MIN,36,0,3,3,-7,11:56,563,15.6,143:06:00, D
680,Nichushkin Valeri,DAL,57,0,10,10,-4,11:55,1027,18.0,67:55:00, RW
681,Weber Yannick,NSH,62,2,6,8,7,11:55,1039,16.8,92:19:00, D
682,Robinson Eric,CBJ,13,0,0,0,-4,11:50,197,15.2,0:00, LW
683,Dotchin Jake,ANA,20,0,1,1,-4,11:49,336,16.8,236:11:00, D
684,Bjork Anders,BOS,20,1,2,3,-1,11:48,305,15.3,78:39:00, LW
685,Karlsson Forsbacka Jakob,BOS,28,3,6,9,1,11:48,431,15.4,36:41:00, C
686,Weise Dale,MTL/PHI,51,5,6,11,-8,11:47,905,17.7,54:36:00, RW
687,Hyka Tomas,VGS,17,1,3,4,-2,11:46,258,15.2,50:00:00, LW
688,Read Matt,MIN,12,1,0,1,-2,11:45,191,15.9,141:03:00, RW
689,Pyatt Tom,OTT/VAN,37,0,2,2,-16,11:43,621,16.8,216:42:00, C
690,Brodziak Kyle,EDM,70,6,3,9,-14,11:42,1190,17.0,90:56:00, C
691,Grant Derek,PIT/ANA,56,4,10,14,-6,11:41,969,17.3,46:44:00, C
692,Hudon Charles,MTL,32,3,2,5,-9,11:40,489,15.3,74:42:00, LW
693,Formenton Alex,OTT,9,1,0,1,-2,11:40,138,15.3,105:01:00, LW
694,Anderson-Dolan Jaret,LA,5,0,1,1,-2,11:36,75,15.0,58:01:00, C
695,Perlini Brendan,CHI/ARI,68,14,7,21,-17,11:36,1069,15.7,37:34:00, LW
696,Senyshyn Zach,BOS,2,1,0,1,0,11:36,31,15.5,23:11, RW
697,Barbashev Ivan,STL,80,14,12,26,-4,11:31,1336,16.7,35:25:00, LW
698,Cullen Matt,PIT,71,7,13,20,6,11:31,1307,18.4,40:51:00, C
699,Karlsson Melker,SJ,79,12,4,16,-1,11:30,1405,17.8,56:46:00, RW
700,Schmaltz Jordan,STL,20,0,2,2,-7,11:29,339,17.0,114:51:00, D
701,Carrick Trevor,CAR,1,0,0,0,-1,11:29,13,13.0,0:00, D
702,Wilson Scott,BUF,15,0,3,3,-8,11:27,245,16.3,57:15:00, C
703,Rose La De Jacob,DET/MTL,60,3,6,9,-13,11:26,958,16.0,76:15:00, LW
704,Martin Matt,NYI,67,6,8,14,5,11:26,1072,16.0,54:43:00, LW
705,Spooner Ryan,EDM/NYR/VAN,52,3,6,9,-12,11:26,819,15.8,66:01:00, C
706,Raffl Michael,PHI,67,6,12,18,-1,11:25,1083,16.2,42:29:00, LW
707,Sherwood Kiefer,ANA,50,6,6,12,1,11:22,784,15.7,47:22:00, RW
708,Poehling Ryan,MTL,1,3,0,3,3,11:22,19,19.0,3:47, C
709,Joseph Mathieu,TB,70,13,13,26,5,11:22,1146,16.4,30:34:00, RW
710,Lindholm Par,TOR/WPG,65,1,12,13,5,11:21,1136,17.5,56:44:00, C
711,Rattie Ty,EDM,50,4,7,11,-2,11:21,761,15.2,51:34:00, RW
712,Mermis Dakota,ARI,1,0,0,0,1,11:20,17,17.0,0:00, D
713,Czarnik Austin,CGY,54,6,12,18,-1,11:20,838,15.5,33:59:00, C
714,Suomela Antti,SJ,27,3,5,8,1,11:19,447,16.6,38:11:00, C
715,Quenneville John,NJ,19,1,0,1,-1,11:19,288,15.2,214:59:00, C
716,Irwin Matt,NSH,44,1,6,7,5,11:18,685,15.6,71:00:00, D
717,Sikura Dylan,CHI,33,0,8,8,2,11:17,510,15.5,46:32:00, C
718,Chaput Michael,MTL/ARI,32,0,5,5,-4,11:13,545,17.0,71:49:00, C
719,Lizotte Blake,LA,1,0,0,0,-1,11:12,14,14.0,0:00, C
720,Kempe Mario,ARI,52,4,5,9,5,11:11,918,17.7,64:37:00, RW
721,Murphy Ryan,NJ/MIN,3,0,1,1,1,11:10,44,14.7,33:30:00, D
722,Callahan Ryan,TB,52,7,10,17,7,11:08,845,16.3,34:04:00, RW
723,Burakovsky Andre,WSH,76,12,13,25,2,11:08,1060,13.9,33:49:00, LW
724,Luff Matt,LA,33,8,3,11,-2,11:07,533,16.2,33:20:00, RW
725,Graves Ryan,COL,26,3,2,5,4,11:06,405,15.6,57:44:00, D
726,Andrighetto Sven,COL,64,7,10,17,10,11:04,930,14.5,41:40:00, RW
727,Hunt Dryden,FLA,31,3,7,10,0,11:04,469,15.1,34:17:00, LW
728,Blueger Teddy,PIT,28,6,4,10,7,11:03,454,16.2,30:57:00, C
729,Fehr Eric,MIN,72,7,8,15,-8,11:03,1163,16.2,53:00:00, RW
730,Goodrow Barclay,SJ,82,7,10,17,4,11:01,1411,17.2,53:06:00, LW
731,Brisebois Guillaume,VAN,8,0,0,0,-4,11:01,134,16.8,0:00, D
732,Stenlund Kevin,CBJ,4,0,0,0,0,10:58,59,14.8,0:00, C
733,Gaudette Adam,VAN,56,5,7,12,-8,10:57,897,16.0,51:05:00, C
734,Kuffner Ryan,DET,10,0,0,0,-4,10:56,150,15.0,0:00, LW
735,Zboril Jakub,BOS,2,0,0,0,0,10:56,42,21.0,0:00, D
736,Lammikko Juho,FLA,40,0,6,6,-7,10:56,665,16.6,72:52:00, RW
737,Kuokkanen Janne,CAR,7,0,0,0,-2,10:55,101,14.4,0:00, C
738,Gibbons Brian,OTT/ANA,64,8,11,19,-5,10:55,1037,16.2,36:46:00, C
739,Plekanec Tomas,MTL,3,1,0,1,0,10:53,58,19.3,32:38:00, C
740,Reaves Ryan,VGS,80,9,11,20,1,10:52,1063,13.3,43:29:00, RW
741,Gurianov Denis,DAL,21,1,3,4,-3,10:52,349,16.6,57:04:00, RW
742,Smith-Pelly Devante,WSH,54,4,4,8,-6,10:51,778,14.4,73:15:00, RW
743,Nash Riley,CBJ,78,3,9,12,-8,10:50,1157,14.8,70:27:00, C
744,Goloubef Cody,OTT,5,0,0,0,0,10:49,79,15.8,0:00, D
745,Fritz Tanner,NYI,8,0,1,1,-3,10:49,113,14.1,86:35:00, C
746,Johnson Luke,CHI,15,0,1,1,-8,10:49,238,15.9,162:11:00, C
747,Tennyson Matt,BUF,4,0,0,0,-4,10:45,63,15.8,0:00, D
748,Andersson Lias,NYR,42,2,4,6,-13,10:43,663,15.8,75:01:00, C
749,Bartkowski Matt,MIN,2,1,0,1,2,10:42,33,16.5,21:24, D
750,Radil Lukas,SJ,36,7,4,11,7,10:41,550,15.3,34:57:00, LW
751,McGinn Jamie,FLA,19,4,3,7,-5,10:41,292,15.4,28:58:00, LW
752,Burgdoerfer Erik,OTT,4,0,0,0,-1,10:40,55,13.8,0:00, D
753,Schaller Tim,VAN,47,3,7,10,-2,10:40,761,16.2,50:06:00, LW
754,McKegg Greg,CAR,41,6,5,11,-2,10:40,650,15.9,39:44:00, C
755,Smith C.J.,BUF,11,2,0,2,0,10:39,157,14.3,58:36:00, LW
756,Clendening Adam,CBJ,4,0,0,0,1,10:39,64,16.0,0:00, D
757,Carey Paul,BOS/OTT,7,0,0,0,0,10:39,91,13.0,0:00, C
758,Ehn Christoffer,DET,60,3,6,9,-5,10:37,874,14.6,70:45:00, C
759,Fortin Alexandre,CHI,24,3,3,6,-6,10:35,349,14.5,42:21:00, LW
760,Erne Adam,TB,65,7,13,20,10,10:33,976,15.0,34:16:00, LW
761,Mangiapane Andrew,CGY,44,8,5,13,11,10:33,653,14.8,35:41:00, LW
762,Hathaway Garnet,CGY,76,11,8,19,14,10:32,1160,15.3,42:06:00, RW
763,Peca Matthew,MTL,39,3,7,10,-14,10:31,594,15.2,41:02:00, C
764,Brown Logan,OTT,2,0,0,0,-2,10:31,27,13.5,0:00, C
765,Clifford Kyle,LA,72,11,10,21,4,10:29,1084,15.1,35:57:00, LW
766,Salomaki Miikka,NSH,37,3,4,7,5,10:27,540,14.6,55:16:00, RW
767,Cracknell Adam,ANA,2,0,0,0,-1,10:26,35,17.5,0:00, RW
768,Kruger Marcus,CHI,74,4,8,12,-2,10:25,1231,16.6,64:13:00, C
769,Puempel Matt,DET,8,1,0,1,-2,10:24,116,14.5,83:13:00, LW
770,Elie Remi,BUF,16,0,1,1,-3,10:21,235,14.7,165:36:00, LW
771,Seney Brett,NJ,51,5,8,13,-14,10:20,705,13.8,40:31:00, LW
772,Kossila Kalle,ANA,8,1,0,1,-1,10:18,131,16.4,82:26:00, C
773,Dowd Nic,WSH,64,8,14,22,10,10:18,862,13.5,29:56:00, C
774,Dea Jean-Sebastien,NJ/PIT/FLA,23,4,2,6,0,10:15,339,14.7,39:18:00, C
775,Prosser Nate,MIN,15,0,0,0,1,10:13,209,13.9,0:00, D
776,Carrick Sam,ANA,6,0,1,1,-1,10:13,96,16.0,61:19:00, C
777,Amadio Michael,LA,43,6,7,13,-1,10:12,606,14.1,33:45:00, C
778,Heatherington Dillon,DAL,5,0,1,1,4,10:11,71,14.2,50:56:00, D
779,Martel Danick,TB,9,0,2,2,3,10:11,124,13.8,45:48:00, C
780,Scherbak Nikita,LA/MTL,8,1,0,1,-4,10:11,114,14.3,81:25:00, LW
781,Lettieri Vinni,NYR,27,1,2,3,-7,10:09,359,13.3,91:24:00, C
782,Giuseppe Di Phil,CAR/NSH,24,1,3,4,-3,10:08,339,14.1,60:48:00, LW
783,Nogier Nelson,WPG,1,0,0,0,0,10:06,11,11.0,0:00, D
784,Jaskin Dmitrij,WSH,37,2,6,8,-5,10:05,462,12.5,46:38:00, RW
785,Dube Dillon,CGY,25,1,4,5,2,10:04,350,14.0,50:20:00, C
786,Deslauriers Nicolas,MTL,48,2,3,5,-12,10:02,668,13.9,96:21:00, LW
787,Necas Martin,CAR,7,1,1,2,0,10:01,103,14.7,35:05:00, C
788,Grimaldi Rocco,NSH,53,5,8,13,-2,10:00,747,14.1,40:47:00, C
789,Zykov Valentin,EDM/CAR/VGS,28,2,3,5,-5,9:57,342,12.2,55:43:00, RW
790,Carrier William,VGS,54,8,1,9,-4,9:57,700,13.0,59:40:00, LW
791,Ennis Tyler,TOR,51,12,6,18,-6,9:56,683,13.4,28:09:00, LW
792,Middleton Jacob,SJ,3,0,1,1,-1,9:56,41,13.7,29:48:00, D
793,Brodzinski Jonny,LA,13,2,1,3,0,9:55,176,13.5,43:00:00, C
794,Alt Mark,COL,2,0,0,0,0,9:55,29,14.5,0:00, D
795,Blais Sammy,STL,32,2,2,4,-1,9:51,429,13.4,78:49:00, LW
796,Boyd Travis,WSH,53,5,15,20,6,9:50,695,13.1,26:02:00, C
797,Carr Daniel,VGS,6,1,0,1,-1,9:50,73,12.2,58:57:00, LW
798,Roslovic Jack,WPG,77,9,15,24,-2,9:45,1015,13.2,31:15:00, C
799,Blackwell Colin,NSH,6,0,0,0,-1,9:44,86,14.3,0:00, C
800,Bourque Gabriel,COL,55,2,6,8,3,9:44,757,13.8,66:56:00, LW
801,Pitlick Rem,NSH,1,0,0,0,0,9:43,14,14.0,0:00, C
802,Knight Corban,PHI,23,1,3,4,-5,9:41,304,13.2,55:39:00, C
803,Kyrou Jordan,STL,16,1,2,3,-1,9:40,213,13.3,51:31:00, C
804,Nieves Boo,NYR,43,4,6,10,-4,9:39,573,13.3,41:31:00, C
805,Ritchie Brett,DAL,53,4,2,6,-7,9:36,814,15.4,84:50:00, RW
806,Witkowski Luke,DET,34,0,2,2,-5,9:36,447,13.1,163:09:00, D
807,Bunting Michael,ARI,5,1,0,1,0,9:33,71,14.2,47:47:00, LW
808,Greco Anthony,FLA,1,0,0,0,-3,9:30,16,16.0,0:00, RW
809,Quine Alan,CGY,13,3,2,5,0,9:30,172,13.2,24:41:00, C
810,Hannikainen Markus,CBJ,44,4,3,7,-5,9:29,599,13.6,59:34:00, LW
811,Bishop Clark,CAR,20,1,2,3,-3,9:27,269,13.5,63:02:00, C
812,Hawryluk Jayce,FLA,42,7,5,12,-8,9:26,588,14.0,33:00:00, C
813,Maenalanen Saku,CAR,34,4,4,8,0,9:26,506,14.9,40:04:00, RW
814,Chartier Rourke,SJ,13,1,0,1,-5,9:24,187,14.4,122:14:00, C
815,Frederic Trent,BOS,15,0,0,0,-4,9:24,198,13.2,0:00, C
816,Carlsson Gabriel,CBJ,1,0,0,0,-1,9:21,17,17.0,0:00, D
817,MacDermid Kurtis,LA,11,0,1,1,-1,9:21,146,13.3,102:49:00, D
818,Vorobyev Mikhail,PHI,15,1,1,2,0,9:20,183,12.2,70:00:00, C
819,Sherwood Kole,CBJ,2,0,0,0,0,9:14,25,12.5,0:00, RW
820,Frk Martin,DET,30,1,5,6,-9,9:11,389,13.0,45:55:00, RW
821,Rychel Kerby,CGY,2,0,0,0,-1,9:11,26,13.0,0:00, LW
822,Brown J.T.,MIN,56,3,5,8,0,9:10,692,12.4,64:11:00, RW
823,Hayden John,CHI,54,3,2,5,-12,9:10,712,13.2,98:56:00, C
824,Lehtera Jori,PHI,27,1,2,3,-7,9:07,389,14.4,82:00:00, C
825,Vaakanainen Urho,BOS,2,0,0,0,-1,9:06,25,12.5,0:00, D
826,Moore Trevor,TOR,25,2,6,8,1,9:06,335,13.4,28:25:00, LW
827,Dries Sheldon,COL,40,3,3,6,-7,9:04,519,13.0,60:29:00, C
828,Gignac Brandon,NJ,1,0,0,0,-2,9:04,12,12.0,0:00, C
829,Kunitz Chris,CHI,56,5,5,10,-7,9:04,747,13.3,50:43:00, LW
830,Lemieux Brendan,NYR/WPG,63,12,5,17,6,9:03,795,12.6,33:31:00, LW
831,Kamenev Vladislav,COL,23,2,3,5,-2,9:02,295,12.8,41:34:00, LW
832,Dalpe Zac,CBJ,1,0,1,1,1,9:01,16,16.0,9:01, C
833,Gaudreau Frederick,NSH,55,3,1,4,1,9:01,732,13.3,123:56:00, C
834,Sedlak Lukas,CBJ,47,4,2,6,-5,9:00,620,13.2,70:29:00, C
835,Elliott Stefan,OTT,3,0,1,1,1,8:59,45,15.0,26:57:00, D
836,Brickley Connor,NYR,14,1,3,4,3,8:59,172,12.3,31:25:00, C
837,Malone Brad,EDM,16,0,0,0,0,8:57,218,13.6,0:00, C
838,Wagner Austin,LA,62,12,9,21,2,8:56,827,13.3,26:21:00, LW
839,Hendricks Matt,WPG/MIN,26,0,3,3,-2,8:50,327,12.6,76:37:00, C
840,Russell Patrick,EDM,6,0,0,0,0,8:47,76,12.7,0:00, RW
841,Gionta Stephen,NYI,5,0,0,0,-4,8:47,71,14.2,0:00, RW
842,Rempal Sheldon,LA,7,0,0,0,-1,8:44,85,12.1,0:00, RW
843,Currie Josh,EDM,21,2,3,5,2,8:43,259,12.3,36:34:00, RW
844,Gambrell Dylan,SJ,8,0,0,0,1,8:38,98,12.3,0:00, C
845,Conacher Cory,TB,1,0,0,0,0,8:35,13,13.0,0:00, LW
846,Paul Nick,OTT,20,1,1,2,-10,8:28,225,11.3,84:44:00, LW
847,Bean Jake,CAR,2,0,0,0,0,8:28,26,13.0,0:00, D
848,Smith Gemel,BOS/DAL,17,2,1,3,-4,8:22,220,12.9,47:25:00, C
849,Gauthier Frederik,TOR,70,3,11,14,3,8:22,867,12.4,41:49:00, C
850,Milano Sonny,CBJ,8,1,0,1,0,8:19,94,11.8,66:34:00, LW
851,Appleton Mason,WPG,36,3,7,10,9,8:12,427,11.9,29:32:00, C
852,Walker Nathan,WSH,3,0,1,1,1,8:09,32,10.7,24:26:00, LW
853,Gambardella Joe,EDM,15,0,3,3,2,8:06,169,11.3,40:31:00, C
854,Haley Micheal,SJ/FLA,43,2,4,6,-2,8:05,536,12.5,57:59:00, C
855,MacEachern Mackenzie,STL,29,3,2,5,0,8:02,336,11.6,46:35:00, LW
856,Nolan Jordan,STL,14,0,2,2,2,7:56,165,11.8,55:34:00, C
857,Martinsen Andreas,CHI,24,1,3,4,-5,7:56,293,12.2,47:36:00, C
858,Johnston Ross,NYI,17,1,3,4,3,7:55,189,11.1,33:38:00, LW
859,Varone Phil,PHI,47,3,4,7,-2,7:55,516,11.0,53:07:00, C
860,Megan Wade,DET,11,0,1,1,-4,7:53,123,11.2,86:39:00, C
861,Jerabek Jakub,STL,1,0,0,0,-3,7:52,15,15.0,0:00, D
862,Nilsson Jacob,CHI,2,0,0,0,-2,7:52,21,10.5,0:00, C
863,Stempniak Lee,BOS,2,0,0,0,-1,7:49,21,10.5,0:00, RW
864,Agozzino Andrew,COL,11,1,1,2,2,7:49,113,10.3,42:57:00, LW
865,Fogarty Steven,NYR,10,0,0,0,-1,7:46,112,11.2,0:00, C
866,Petan Nic,TOR/WPG,18,1,2,3,-5,7:38,193,10.7,45:49:00, C
867,Wilson Garrett,PIT,50,2,6,8,2,7:37,590,11.8,47:35:00, LW
868,Gaunce Brendan,VAN,3,1,2,3,3,7:37,37,12.3,7:36, C
869,Gettinger Tim,NYR,4,0,0,0,0,7:31,42,10.5,0:00, LW
870,McCormick Max,OTT,14,1,0,1,-6,7:30,153,10.9,105:00:00, LW
871,Blandisi Joseph,PIT/ANA,9,0,0,0,-1,7:27,100,11.1,0:00, C
872,Goulbourne Tyrell,PHI,2,0,0,0,0,7:25,23,11.5,0:00, LW
873,Donovan Matt,NSH,2,0,1,1,0,7:24,21,10.5,14:47, D
874,Archibald Darren,OTT/VAN,12,1,1,2,-3,7:23,138,11.5,44:15:00, LW
875,Gabriel Kurtis,NJ,22,2,2,4,0,7:22,254,11.5,40:33:00, RW
876,Beleskey Matt,NYR,4,1,0,1,1,7:22,42,10.5,29:29:00, LW
877,Richard Anthony,NSH,1,0,0,0,-1,7:22,12,12.0,0:00, C
878,Mamin Maxim,FLA,7,0,0,0,-2,7:21,79,11.3,0:00, C
879,MacEwen Zack,VAN,4,0,1,1,-4,7:11,47,11.8,28:44:00, C
880,Lindholm Anton,COL,2,0,0,0,-1,7:11,22,11.0,0:00, D
881,Soshnikov Nikita,STL,5,0,0,0,-1,7:10,57,11.4,0:00, RW
882,Rinaldo Zac,NSH,23,1,2,3,1,7:07,251,10.9,54:37:00, C
883,Kloos Justin,ANA,1,0,0,0,0,7:04,10,10.0,0:00, C
884,Rodewald Jack,OTT,6,0,0,0,0,7:04,54,9.0,0:00, RW
885,Rau Kyle,MIN,6,0,1,1,0,7:01,62,10.3,42:05:00, C
886,Lomberg Ryan,CGY,4,0,0,0,0,6:59,43,10.8,0:00, LW
887,Roy Nicolas,CAR,6,0,0,0,0,6:57,70,11.7,0:00, C
888,Marody Cooper,EDM,6,0,0,0,-1,6:55,59,9.8,0:00, C
889,Dano Marko,COL,8,0,0,0,-1,6:53,86,10.8,0:00, C
890,Vesalainen Kristian,WPG,5,0,1,1,0,6:50,50,10.0,34:12:00, LW
891,O'Connor Logan,COL,5,0,0,0,-2,6:49,49,9.8,0:00, RW
892,Toninato Dominic,COL,2,1,0,1,0,6:42,21,10.5,13:24, C
893,McLeod Cody,NYR/NSH,38,1,0,1,-13,6:29,363,9.6,246:26:00, LW
894,Greer A.J.,COL,15,1,1,2,-2,6:16,142,9.5,47:00:00, LW
895,Bailey Justin,PHI,11,0,1,1,0,5:44,98,8.9,63:05:00, RW
896,Aube-Kubel Nicolas,PHI,9,0,0,0,1,5:35,72,8.0,0:00, RW
897,Boucher Reid,VAN,1,0,0,0,0,5:28,10,10.0,0:00, C
898,Johnson Adam,PIT,6,0,2,2,2,5:18,55,9.2,15:55, C
899,Lazar Curtis,CGY,1,0,0,0,-1,4:48,9,9.0,0:00, RW
900,Peluso Anthony,CGY,4,0,0,0,-1,4:07,27,6.8,0:00, RW
901,MacKenzie Derek,FLA,1,0,0,0,0,2:43,4,4.0,0:00, C
902,Thorburn Chris,STL,1,0,0,0,0,1:52,3,3.0,0:00, RW
903,Gilbert Dennis,CHI,1,0,0,0,0,12:46,17,17.0,0:00, D
904,Stillman Riley,FLA,1,0,0,0,0,11:22,19,19.0,0:00, D
905,Letestu Mark,CBJ,2,0,0,0,-1,9:20,27,13.5,0:00, C
