,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
384,Miller Kevan,39,0,7,7,8,17:45,919,23.6,D,"6'2""",210,31,4,16,Upper body,Boston
385,Mittelstadt Casey,77,12,13,25,-19,13:27,1333,17.3,C,"6'0""",209,20,1,2,Lower body,Buffalo
386,Moore John,61,4,9,13,0,18:46,1517,24.9,D,"6'2""",210,28,2,3,Lower body,Boston
387,Moore John,61,4,9,13,0,18:46,1517,24.9,D,"6'2""",210,28,2,6,Upper body,Boston
388,Morrissey Josh,59,6,25,31,9,22:24,1439,24.4,D,"6'0""",195,24,3,1,Lower body,Winnipeg/Atlanta
389,Morrissey Josh,59,6,25,31,9,22:24,1439,24.4,D,"6'0""",195,24,3,2,Lower body,Winnipeg/Atlanta
390,Morrissey Josh,59,6,25,31,9,22:24,1439,24.4,D,"6'0""",195,24,3,20,Upper body,Winnipeg/Atlanta
391,Motte Tyler,74,9,7,16,-12,12:46,1425,19.3,C,"5'10""",192,24,1,6,Upper body,Vancouver
392,Mueller Mirco,53,1,10,11,-3,18:04,1272,24,D,"6'3""",210,24,1,11,Shoulder,New Jersey
393,Murphy Connor,52,5,8,13,12,19:29,1352,26,D,"6'4""",212,26,1,30,Back,Chicago
394,Murray Ryan,56,1,28,29,20,21:26,1501,26.8,D,"6'1""",205,25,2,1,Lower body,Columbus
395,Murray Ryan,56,1,28,29,20,21:26,1501,26.8,D,"6'1""",205,25,2,24,Upper body,Columbus
396,Myers Tyler,80,9,22,31,11,20:21,1806,22.6,D,"6'8""",229,29,1,2,Lower body,Winnipeg/Atlanta
397,Namestnikov Vladislav,78,11,20,31,-7,15:48,1651,21.2,C,"6'0""",184,26,1,3,Concussion,NY Rangers
398,Neal James,63,7,12,19,-5,14:57,1252,19.9,LW,"6'3""",212,31,2,17,Lower body,Calgary
399,Neal James,63,7,12,19,-5,14:57,1252,19.9,LW,"6'3""",212,31,2,1,Upper body,Calgary
400,Nelson Casey,38,1,5,6,1,15:25,752,19.8,D,"6'1""",183,26,1,29,Upper body,Buffalo
401,Nemeth Patrik,74,1,9,10,5,16:29,1528,20.6,D,"6'3""",219,27,1,2,Upper body,Colorado
402,Nichushkin Valeri,57,0,10,10,-4,11:55,1027,18,RW,"6'4""",210,24,3,2,Lower body,Dallas
403,Nichushkin Valeri,57,0,10,10,-4,11:55,1027,18,RW,"6'4""",210,24,3,3,Lower body,Dallas
