,PLAYER,INJURY COUNT
431,Vanek Thomas,3
432,Varlamov Semyon,1
433,Vasilevskiy Andrei,1
434,Vatanen Sami,2
435,Virtanen Jake,2
436,Vlasic Marc-Edouard,1
437,Voracek Jakub,1
438,WIlson Tom,1
439,Wagner Austin,2
440,Wagner Chris,2
441,Walker Sean,1
442,Ward Cam,1
443,Weber Shea,1
444,Weber Yannick,1
445,Weegar MacKenzie,4
446,White Colin,2
447,Wideman Chris,1
448,Wilson Colin,3
449,Wilson Scott,1
450,Wood Miles,3
451,Yakovlev Egor,1
452,Yamamoto Kailer,1
453,Zacha Pavel,1
454,Zadorov Nikita,2
455,Zajac Travis,1
456,Zetterberg Henrik,1
457,Zuccarello Mats,4
458,de Haan Calvin,3
459,van Riemsdyk James,1
