PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Josh Currie, RW",EDM,21,2,3,5,2,8:43,259,12.3,36:34:00
"Dylan Gambrell, C",SJ,8,0,0,0,1,8:38,98,12.3,0:00
"Cory Conacher, LW",TB,1,0,0,0,0,8:35,13,13,0:00
"Nick Paul, LW",OTT,20,1,1,2,-10,8:28,225,11.3,84:44:00
"Jake Bean, D",CAR,2,0,0,0,0,8:28,26,13,0:00
"Gemel Smith, C",BOS/DAL,17,2,1,3,-4,8:22,220,12.9,47:25:00
"Frederik Gauthier, C",TOR,70,3,11,14,3,8:22,867,12.4,41:49:00
"Sonny Milano, LW",CBJ,8,1,0,1,0,8:19,94,11.8,66:34:00
"Mason Appleton, C",WPG,36,3,7,10,9,8:12,427,11.9,29:32:00
"Nathan Walker, LW",WSH,3,0,1,1,1,8:09,32,10.7,24:26:00
"Joe Gambardella, C",EDM,15,0,3,3,2,8:06,169,11.3,40:31:00
"Micheal Haley, C",SJ/FLA,43,2,4,6,-2,8:05,536,12.5,57:59:00
"Mackenzie MacEachern, LW",STL,29,3,2,5,0,8:02,336,11.6,46:35:00
"Jordan Nolan, C",STL,14,0,2,2,2,7:56,165,11.8,55:34:00
"Andreas Martinsen, C",CHI,24,1,3,4,-5,7:56,293,12.2,47:36:00
"Ross Johnston, LW",NYI,17,1,3,4,3,7:55,189,11.1,33:38:00
"Phil Varone, C",PHI,47,3,4,7,-2,7:55,516,11,53:07:00
"Wade Megan, C",DET,11,0,1,1,-4,7:53,123,11.2,86:39:00
"Jakub Jerabek, D",STL,1,0,0,0,-3,7:52,15,15,0:00
"Jacob Nilsson, C",CHI,2,0,0,0,-2,7:52,21,10.5,0:00
"Lee Stempniak, RW",BOS,2,0,0,0,-1,7:49,21,10.5,0:00
"Andrew Agozzino, LW",COL,11,1,1,2,2,7:49,113,10.3,42:57:00
"Steven Fogarty, C",NYR,10,0,0,0,-1,7:46,112,11.2,0:00
"Nic Petan, C",TOR/WPG,18,1,2,3,-5,7:38,193,10.7,45:49:00
"Garrett Wilson, LW",PIT,50,2,6,8,2,7:37,590,11.8,47:35:00
"Brendan Gaunce, C",VAN,3,1,2,3,3,7:37,37,12.3,7:36
"Tim Gettinger, LW",NYR,4,0,0,0,0,7:31,42,10.5,0:00
"Max McCormick, LW",OTT,14,1,0,1,-6,7:30,153,10.9,105:00:00
"Joseph Blandisi, C",PIT/ANA,9,0,0,0,-1,7:27,100,11.1,0:00
"Tyrell Goulbourne, LW",PHI,2,0,0,0,0,7:25,23,11.5,0:00
"Matt Donovan, D",NSH,2,0,1,1,0,7:24,21,10.5,14:47
"Darren Archibald, LW",OTT/VAN,12,1,1,2,-3,7:23,138,11.5,44:15:00
"Kurtis Gabriel, RW",NJ,22,2,2,4,0,7:22,254,11.5,40:33:00
"Matt Beleskey, LW",NYR,4,1,0,1,1,7:22,42,10.5,29:29:00
"Anthony Richard, C",NSH,1,0,0,0,-1,7:22,12,12,0:00
"Maxim Mamin, C",FLA,7,0,0,0,-2,7:21,79,11.3,0:00
"Zack MacEwen, C",VAN,4,0,1,1,-4,7:11,47,11.8,28:44:00
"Anton Lindholm, D",COL,2,0,0,0,-1,7:11,22,11,0:00
"Nikita Soshnikov, RW",STL,5,0,0,0,-1,7:10,57,11.4,0:00
"Zac Rinaldo, C",NSH,23,1,2,3,1,7:07,251,10.9,54:37:00
"Justin Kloos, C",ANA,1,0,0,0,0,7:04,10,10,0:00
"Jack Rodewald, RW",OTT,6,0,0,0,0,7:04,54,9,0:00
"Kyle Rau, C",MIN,6,0,1,1,0,7:01,62,10.3,42:05:00
"Ryan Lomberg, LW",CGY,4,0,0,0,0,6:59,43,10.8,0:00
"Nicolas Roy, C",CAR,6,0,0,0,0,6:57,70,11.7,0:00
"Cooper Marody, C",EDM,6,0,0,0,-1,6:55,59,9.8,0:00
"Marko Dano, C",COL,8,0,0,0,-1,6:53,86,10.8,0:00
"Kristian Vesalainen, LW",WPG,5,0,1,1,0,6:50,50,10,34:12:00
"Logan O'Connor, RW",COL,5,0,0,0,-2,6:49,49,9.8,0:00
"Dominic Toninato, C",COL,2,1,0,1,0,6:42,21,10.5,13:24
"Cody McLeod, LW",NYR/NSH,38,1,0,1,-13,6:29,363,9.6,246:26:00
"A.J. Greer, LW",COL,15,1,1,2,-2,6:16,142,9.5,47:00:00
"Justin Bailey, RW",PHI,11,0,1,1,0,5:44,98,8.9,63:05:00
"Nicolas Aube-Kubel, RW",PHI,9,0,0,0,1,5:35,72,8,0:00
"Reid Boucher, C",VAN,1,0,0,0,0,5:28,10,10,0:00
"Adam Johnson, C",PIT,6,0,2,2,2,5:18,55,9.2,15:55
"Curtis Lazar, RW",CGY,1,0,0,0,-1,4:48,9,9,0:00
"Anthony Peluso, RW",CGY,4,0,0,0,-1,4:07,27,6.8,0:00
"Derek MacKenzie, C",FLA,1,0,0,0,0,2:43,4,4,0:00
"Chris Thorburn, RW",STL,1,0,0,0,0,1:52,3,3,0:00
"Dennis Gilbert, D",CHI,1,0,0,0,0,12:46,17,17,0:00
"Riley Stillman, D",FLA,1,0,0,0,0,11:22,19,19,0:00
"Mark Letestu, C",CBJ,2,0,0,0,-1,9:20,27,13.5,0:00
