Date,Team,Acquired,Relinquised,Notes
2/7/2014,Clippers,,Hidayet Turkoglu / Hedo Turkoglu,bruised right knee (DNP)
2/7/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/7/2014,Lakers,,Jordan Farmar,rest / torn left hamstring (DNP)
2/7/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/7/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/7/2014,Nets,,Kevin Garnett,rest (DNP)
2/7/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/7/2014,Pacers,,Lance Stephenson,sore lower back (DNP)
2/7/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/8/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
2/8/2014,Bucks,,Ersan Ilyasova,back injury (DNP)
2/8/2014,Bucks,,Luke Ridnour,back injury (DNP)
2/8/2014,Bucks,,O.J. Mayo,illness (DNP)
2/8/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/8/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/8/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
2/8/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
2/8/2014,Spurs,,Marco Belinelli,back spasms (DNP)
2/8/2014,Spurs,,Tiago Splitter,bruised right calf (DNP)
2/8/2014,Timberwolves,,Kevin Love,bruised left quadriceps (DNP)
2/8/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/9/2014,Bulls,,Carlos Boozer,strained left calf (DNP)
2/9/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/9/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/9/2014,Lakers,,Jordan Farmar,sore left hamstring (DNP)
2/9/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/9/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/9/2014,Nuggets,,Ty Lawson,fractured left rib (out indefinitely)
2/9/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/10/2014,76ers,,Hollis Thompson,sprained right ankle (DNP)
2/10/2014,Bucks,,Ersan Ilyasova,back injury (DNP)
2/10/2014,Bucks,,Larry Sanders,fractured right orbital bone (DNP)
2/10/2014,Bucks,,O.J. Mayo,conditioning (DNP)
2/10/2014,Celtics,,Avery Bradley,sore right ankle (DNP)
2/10/2014,Celtics,,Rajon Rondo,rest / sore right knee (DNP)
2/10/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/10/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/10/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/10/2014,Spurs,,Tiago Splitter,bruised right calf/shin (DNP)
2/10/2014,Warriors,,Nemanja Nedovic,right foot inflammation / strained left hamstring (DNP)
2/11/2014,Bucks,,John Henson,foot injury (DNP)
2/11/2014,Bulls,,Carlos Boozer,strained left calf (DNP)
2/11/2014,Cavaliers,,Anderson Varejao,sore back (DNP)
2/11/2014,Cavaliers,,C.J. Miles,sore right foot (DNP)
2/11/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/11/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/11/2014,Lakers,,Jordan Farmar,sore left hamstring (DNP)
2/11/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/11/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/12/2014,76ers,,Hollis Thompson,sprained right ankle (DNP)
2/12/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/12/2014,Bucks,,Larry Sanders,fractured right orbital bone (DNP)
2/12/2014,Bucks,,O.J. Mayo,conditioning (DNP)
2/12/2014,Celtics,,Avery Bradley,sore right ankle (DNP)
2/12/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/12/2014,Hawks,,DeMarre Carroll,strained left hamstring (DNP)
2/12/2014,Knicks,,J.R. Smith,fractured left cheekbone (DNP)
2/12/2014,Mavericks,,Devin Harris,sprained left ankle (P) / knee (CBC) (DNP)
2/12/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/12/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/12/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/12/2014,Rockets,,Patrick Beverley,strained abdominal (DNP)
2/12/2014,Spurs,,(William) Tony Parker,rest (DNP)
2/12/2014,Spurs,,Tiago Splitter,bruised right calf/shin (DNP)
2/12/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/13/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/13/2014,Lakers,,Steve Nash,back injury (DTD)
2/15/2014,Bucks,,Larry Sanders,surgery to repair fractured orbital bone (out indefinitely)
2/18/2014,76ers,,Hollis Thompson,sprained right ankle (DNP)
2/18/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/18/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/18/2014,Hawks,,DeMarre Carroll,strained left hamstring (DNP)
2/18/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/18/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/18/2014,Spurs,,Tiago Splitter,bruised right calf/shin (DNP)
2/18/2014,Cavaliers,,Anderson Varejao,sore back (DNP)
2/19/2014,Blazers,,LaMarcus Aldridge,strained left groin (DNP)
2/19/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/19/2014,Hawks,,Gustavo Ayon,shoulder injury / stress fracture in right ankle (P) (DNP)
2/19/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sore left knee (DNP)
2/19/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/19/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/19/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
2/19/2014,Pistons,,Chauncey Billups,arthroscopic surgery on left knee (out for season)
2/19/2014,Rockets,,Ronnie Brewer,sprained right ankle (DNP)
2/19/2014,Spurs,,Aron Baynes,bruised left knee (DNP)
2/19/2014,Spurs,,Tim Duncan,rest (DNP)
2/19/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/20/2014,Bucks,,Brandon Knight,heel injury (DNP)
2/20/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/20/2014,Nuggets,,JaVale McGee,surgery on left tibia to repair stress fracture (out for season)
2/20/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/20/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/20/2014,Rockets,,Ronnie Brewer,sprained right ankle (DNP)
2/20/2014,Timberwolves,,Ronny Turiaf,bruised right knee (out indefinitely)
2/20/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/21/2014,Blazers,,LaMarcus Aldridge,strained left groin (DNP)
2/21/2014,Cavaliers,,Anderson Varejao,sore back (DNP)
2/21/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2/21/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/21/2014,Celtics,,Vitor Faverani,knee injury (DNP)
2/21/2014,Hawks,,Gustavo Ayon,right shoulder injury (DNP)
2/21/2014,Hawks,,Jeff Teague,sprained left ankle (DNP)
2/21/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/21/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
2/21/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/21/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/21/2014,Suns,,Leandro Barbosa,sprained left big toe (DNP)
2/21/2014,Thunder,,Kendrick Perkins,strained groin (DTD)
2/22/2014,Bucks,,Caron Butler,sore left ankle (DNP)
2/22/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/22/2014,Celtics,,Jared Sullinger,concussion (DNP)
2/22/2014,Celtics,,Rajon Rondo,rest (DNP)
2/22/2014,Celtics,,Vitor Faverani,knee injury (DNP)
2/22/2014,Hawks,,Gustavo Ayon,right shoulder injury (DNP)
2/22/2014,Hawks,,Paul Millsap,bruised right knee (DNP)
2/22/2014,Magic,,Arron Afflalo,sprained right ankle (DNP)
2/22/2014,Nets,,Marcus Thornton (T.),food poisoning (DNP)
2/22/2014,Pelicans,,Jason Smith,right knee injury (DNP) (P)
2/22/2014,Timberwolves,,Ronny Turiaf,bone bruise in right knee (DNP)
2/22/2014,Warriors,,David Lee,stomach flu (DNP)
2/22/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/23/2014,Blazers,,LaMarcus Aldridge,strained left groin (DNP)
2/23/2014,Bulls,,Jimmy Butler,bruised ribs (DNP)
2/23/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2/23/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/23/2014,Heat,,LeBron James,fractured nose (DTD)
2/23/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
2/23/2014,Magic,,Arron Afflalo,sprained right ankle (DNP)
2/23/2014,Nets,,Kevin Garnett,rest (DNP)
2/23/2014,Nets,,Marcus Thornton (T.),food poisoning (DNP)
2/23/2014,Nets,,Shaun Livingston,bruised tailbone (DNP)
2/23/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
2/23/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/23/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/23/2014,Suns,,Leandro Barbosa,sprained left big toe (DNP)
2/23/2014,Timberwolves,,Ronny Turiaf,bone bruise in right knee (DNP)
2/24/2014,76ers,,Danny Granger,DNP
2/24/2014,76ers,,Lorenzo Brown,wrist injury (DNP)
2/24/2014,Bucks,,Caron Butler,sore left ankle (DNP)
2/24/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/24/2014,Celtics,,Jared Sullinger,concussion (DNP)
2/24/2014,Celtics,,Vitor Faverani,knee injury (DNP)
2/24/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/24/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/24/2014,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sprained MCL in right knee (P) / left knee injury (CBC) (out indefinitely)
2/25/2014,Blazers,,LaMarcus Aldridge,strained left groin (DNP)
2/25/2014,Bulls,,Jimmy Butler,bruised ribs (DNP)
2/25/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2/25/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/25/2014,Hawks,,Gustavo Ayon,right shoulder injury (DNP)
2/25/2014,Hawks,,Paul Millsap,bruised right knee (DNP)
2/25/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/25/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
2/25/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/25/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/25/2014,Rockets,,Greg Smith (a),knee injury (DNP)
2/25/2014,Suns,,Leandro Barbosa,sprained left big toe (DNP)
2/25/2014,Suns,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,sprained right ankle (DNP)
2/25/2014,Timberwolves,,Ronny Turiaf,bone bruise in right knee (DNP)
2/25/2014,Wizards,,Kevin Seraphin,sore right knee (DNP)
2/26/2014,76ers,,Lorenzo Brown,wrist injury (DNP)
2/26/2014,Blazers,,LaMarcus Aldridge,strained left groin (DNP)
2/26/2014,Blazers,,Thomas Robinson,strained patella in left knee (DNP)
2/26/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2/26/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/26/2014,Celtics,,Jared Sullinger,concussion (DNP)
2/26/2014,Celtics,,Kelly Olynyk,sprained left big toe (DNP)
2/26/2014,Celtics,,Vitor Faverani,knee injury (DNP)
2/26/2014,Hawks,,Gustavo Ayon,right shoulder injury (DNP)
2/26/2014,Hawks,,Paul Millsap,bruised right knee (DNP)
2/26/2014,Lakers,,Chris Kaman,sore back (DNP)
2/26/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/26/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
2/26/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/26/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
2/26/2014,Suns,,Goran Dragic,ankle injury (DNP)
2/26/2014,Suns,,Leandro Barbosa,sprained left big toe (DNP)
2/26/2014,Suns,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,sprained right ankle (DNP)
2/26/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/27/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
2/27/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
2/27/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/27/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
2/27/2014,Nuggets,,Wilson Chandler,sprained right knee (DNP)
2/27/2014,Wizards,,Kevin Seraphin,sore right knee (DNP)
2/28/2014,Cavaliers,,Anthony Bennett,sprained left ankle / right knee injury
2/28/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
2/28/2014,Celtics,,Gerald Wallace,torn meniscus in left knee (out indefinitely)
2/28/2014,Clippers,,Jamal Crawford,strained left calf (DTD)
2/28/2014,Hawks,,Gustavo Ayon,surgery on right shoulder (out for season)
2/28/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sore left knee (DNP)
2/28/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/28/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
2/28/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/28/2014,Pelicans,,Jrue Holiday,surgery on right tibia to repair stress fracture (out for season)
2/28/2014,Rockets,,Greg Smith (a),surgery on right knee (out indefinitely)
2/28/2014,Suns,,Leandro Barbosa,sprained left big toe (DNP)
2/28/2014,Suns,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,sprained right ankle (DNP)
2/28/2014,Warriors,,Nemanja Nedovic,strained left hamstring / strep throat (DNP)
3/1/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/1/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/1/2014,Cavaliers,,Dion Waiters,hyperextended left knee (DNP)
3/1/2014,Celtics,,Gerald Wallace,torn meniscus in left knee (DNP)
3/1/2014,Celtics,,Kelly Olynyk,sprained left big toe (DNP)
3/1/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/1/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/1/2014,Nets,,Kevin Garnett,back spasms (DNP)
3/1/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/1/2014,Nuggets,,Ty Lawson,fractured left rib (DNP)
3/1/2014,Pacers,,George Hill,bruised left shoulder (DNP)
3/1/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/1/2014,Rockets,,Chandler Parsons,illness (DNP)
3/1/2014,Rockets,,Greg Smith (a),recovering from surgery on right knee (DNP)
3/1/2014,Wizards,,Kevin Seraphin,sore right knee (DNP)
3/2/2014,Hawks,,Paul Millsap,bruised right knee (DNP)
3/2/2014,Magic,,Jameer Nelson,sore calf (DTD)
3/2/2014,Pacers,,George Hill,bruised left shoulder (DNP)
3/2/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
3/3/2014,Bobcats,,Gerald Henderson (b),strained right calf (DNP)
3/3/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/3/2014,Grizzlies,,James Johnson,ankle injury (DNP)
3/3/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/3/2014,Nets,,Kevin Garnett,back spasms (DNP)
3/3/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/3/2014,Wizards,,Kevin Seraphin,sore right knee (DNP)
3/3/2014,Wizards,,Martell Webster,sore back (DNP)
3/4/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/4/2014,Celtics,,Gerald Wallace,"arthroscopic surgery on left knee to repair torn meniscus, and ankle (out indefinitely)"
3/4/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/4/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/4/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/4/2014,Suns,,Miles Plumlee,sprained right knee (DNP)
3/5/2014,Bobcats,,Gerald Henderson (b),strained right calf (DNP)
3/5/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/5/2014,Celtics,,Gerald Wallace,"recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
3/5/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/5/2014,Grizzlies,,Zach Randolph,flu (DNP)
3/5/2014,Hawks,,Paul Millsap,bruised right knee (DNP)
3/5/2014,Magic,,Victor Oladipo,sore left ankle (DNP)
3/5/2014,Nets,,Kevin Garnett,back spasms (DNP)
3/5/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/5/2014,Pacers,,C.J. Watson,right elbow injury (DNP)
3/5/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/5/2014,Suns,,Leandro Barbosa,fractured left hand (out for season)
3/5/2014,Wizards,,Martell Webster,sore back (DNP)
3/6/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/6/2014,Clippers,,Jared Dudley,back spasms (DNP)
3/6/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/6/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/6/2014,Suns,,Miles Plumlee,sprained right knee (DNP)
3/7/2014,Bobcats,,Gerald Henderson (b),strained right calf (DNP)
3/7/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/7/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/7/2014,Celtics,,Gerald Wallace,"recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
3/7/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/7/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/7/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/7/2014,Nets,,Kevin Garnett,rest (DNP)
3/7/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/7/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/7/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/8/2014,76ers,,Lorenzo Brown,sore right foot (DNP)
3/8/2014,Bobcats,,Gerald Henderson (b),strained right calf (DNP)
3/8/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/8/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/8/2014,Clippers,,Jared Dudley,back spasms (DNP)
3/9/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/9/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/9/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/9/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/9/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/9/2014,Celtics,,Avery Bradley,sore right ankle (DNP)
3/10/2014,76ers,,Lorenzo Brown,sore right foot (DNP)
3/10/2014,Bobcats,,Gerald Henderson (b),strained right calf (DNP)
3/10/2014,Bucks,,Ekpe Udoh,swelling in right knee (DNP)
3/10/2014,Cavaliers,,Anthony Bennett,strained left knee (out indefinitely)
3/10/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/10/2014,Clippers,,Jared Dudley,back spasms (DNP)
3/10/2014,Nets,,Kevin Garnett,back injury (DNP)
3/10/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/11/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/11/2014,Celtics,,Avery Bradley,sore left ankle (DNP)
3/11/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/11/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/12/2014,76ers,,Lorenzo Brown,sore right foot (DNP)
3/12/2014,Blazers,,Maurice Williams / Mo Williams,strained right hip (DNP)
3/12/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/12/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/12/2014,Celtics,,Avery Bradley,sore right ankle (DNP)
3/12/2014,Celtics,,Rajon Rondo,rest (DNP)
3/12/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/12/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/12/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,rest (DNP)
3/12/2014,Nets,,Kevin Garnett,back injury (DNP)
3/12/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/12/2014,Pelicans,,Eric Gordon,illness (DNP)
3/12/2014,Pelicans,,Tyreke Evans,illness (DNP)
3/12/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/13/2014,Blazers,,LaMarcus Aldridge,bruised lower back (DTD)
3/13/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/13/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/14/2014,Blazers,,LaMarcus Aldridge,bruised lower back (DNP)
3/14/2014,Blazers,,Maurice Williams / Mo Williams,strained right hip (DNP)
3/14/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/14/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/14/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/14/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/14/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/14/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/14/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/15/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/15/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/16/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/16/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/16/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/16/2014,Clippers,,Darren Collison,stomach virus (DNP)
3/16/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/16/2014,Kings,,DeMarcus Cousins,right knee tendinitis (DNP)
3/16/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/16/2014,Thunder,,Russell Westbrook,rest (DNP)
3/16/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/17/2014,76ers,,James Anderson,bruised right quadriceps (DNP)
3/17/2014,Bulls,,Tornike Shengelia,flu (DNP)
3/17/2014,Cavaliers,,Kyrie Irving,strained left bicep (out indefinitely)
3/17/2014,Celtics,,Rajon Rondo,knee injury / rest (DNP)
3/17/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/17/2014,Clippers,,Darren Collison,stomach virus (DNP)
3/17/2014,Clippers,,Jamal Crawford,strained left calf (DNP)
3/17/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/17/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
3/17/2014,Rockets,,Omri Casspi,flu (DNP)
3/18/2014,Cavaliers,,Luol Deng,sprained left ankle (DNP)
3/19/2014,76ers,,James Anderson,bruised right quadriceps (DNP)
3/19/2014,Bulls,,Tornike Shengelia,flu (DNP)
3/19/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/19/2014,Lakers,,Jordan Farmar,strained right groin (DNP)
3/19/2014,Lakers,,Jordan Hill,sore right knee (DNP)
3/19/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
3/19/2014,Magic,,Jameer Nelson,sore left knee (DNP)
3/19/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/19/2014,Nuggets,,Ty Lawson,sinus infection (DNP)
3/19/2014,Nuggets,,Wilson Chandler,strained left hip (DNP)
3/19/2014,Pelicans,,Anthony Davis,upper respiratory infection (DNP)
3/19/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/19/2014,Pistons,,Andre Drummond,strained neck (DNP)
3/19/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/19/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/20/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/20/2014,Cavaliers,,Luol Deng,sprained left ankle (DNP)
3/20/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/20/2014,Kings,,Carl Landry,arthroscopic surgery on right knee to repair torn medial menuscus (out for season)
3/20/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
3/20/2014,Thunder,,Russell Westbrook,rest / knee injury (DNP)
3/20/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/20/2014,Wizards,,Marcin Gortat,sore back (DNP)
3/21/2014,Bulls,,Tornike Shengelia,flu (DNP)
3/21/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/21/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/21/2014,Kings,,Quincy Acy,sprained right ankle (DNP)
3/21/2014,Lakers,,Chris Kaman,sore right foot (DNP)
3/21/2014,Lakers,,Wesley Johnson / Wes Johnson,upper respiratory infection (DNP)
3/21/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/22/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
3/22/2014,Bucks,,Nate Wolters,fractured left hand (out indefinitely)
3/22/2014,Bulls,,Tornike Shengelia,flu (DNP)
3/22/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/22/2014,Cavaliers,,Luol Deng,sprained left ankle (DNP)
3/22/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/22/2014,Lakers,,Xavier Henry,torn ligament in left wrist (out indefinitely)
3/22/2014,Magic,,Jameer Nelson,sore left knee (DNP)
3/22/2014,Mavericks,,Gal Mekel,knee injury (DTD)
3/22/2014,Nuggets,,J.J. Hickson,torn ACL in right knee (out indefinitely)
3/22/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/22/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/22/2014,Pistons,,Peyton Siva,sprained left ankle (DNP)
3/22/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
3/22/2014,Spurs,,Matt Bonner,strained right calf (DNP)
3/23/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
3/23/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/23/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/23/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/23/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/23/2014,Kings,,Quincy Acy,sprained right ankle (DNP)
3/23/2014,Knicks,,Iman Shumpert,illness (DNP)
3/23/2014,Lakers,,Chris Kaman,sore right foot (DNP)
3/23/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
3/23/2014,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
3/23/2014,Magic,,Jameer Nelson,sore left knee (DNP)
3/23/2014,Mavericks,,Gal Mekel,knee injury (DNP)
3/23/2014,Nuggets,,J.J. Hickson,torn ACL in right knee (DNP)
3/23/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
